unique_id,ds,y_freight,y_items,y_weight_kg,items_missing_weight
01_15,2018-02-26,35.55,3,0.75,0
01_15,2018-03-19,2.32,1,0.15,0
01_15,2018-04-23,13.84,1,0.35,0
01_15,2018-04-30,12.79,1,0.5,0
01_15,2018-05-07,12.79,1,0.1,0
01_15,2018-05-14,29.189999999999998,2,4.175,0
01_15,2018-06-25,39.12,2,1.683,0
01_15,2018-07-09,12.79,1,0.175,0
01_15,2018-07-16,27.7,2,0.7170000000000001,0
01_15,2018-07-23,27.880000000000003,2,0.4,0
01_15,2018-08-06,13.99,1,0.65,0
01_16,2017-02-06,10.96,1,0.225,0
01_16,2017-10-23,38.23,1,5.9,0
01_16,2017-11-13,11.85,1,0.25,0
01_16,2017-11-27,11.92,1,0.75,0
